Term,Domain,Definition,Category,Related terms,Reference description,Reference source,Publication Title,Authors,Jorunal,Year,Volume,Issue,Edition,Publisher,DOI,PMID,Link to reference,Creation Date,Date of change,Comments,Term ID,
reporting system,Common Term,system made available for reporting data,Dissemination,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978197_reporting system_Common Term,1551347978197
representative sample,Food Safety,a sample in which the characteristics of the batch from which it is drawn are maintained. This is inparticular the case of a simple random sample where each of theitems or increments of the batch has been given the same probability of entering the sample,Sampling and laboratory testing,,REGULATION (EC) No 2073/2005,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:338:0001:0026:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977762_representative sample_Food Safety,1551347977762
representative sample,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977993_representative sample_Animal Health,1551347977993
representative sample,Public Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977994_representative sample_Public Health,1551347977994
reproducibility,Public Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977995_reproducibility_Public Health,1551347977995
reproducibility,Food Safety,Reproducibility is the closeness of agreement between single test results on identical test material using the same method and obtained by operators in different laboratories using different equipment.,Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978160_reproducibility_Food Safety,1551347978160
reproductive rate,Public Health,The potential for a contagious disease to sperad from person to person in a population.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978257_reproductive rate_Public Health,1551347978257
requirement analysis,Common Term,"Identification of motivation, needs and requirements of stakeholders, including contextual conditions (e.g. potential conflict, competitions or synergies)","ORION-specific, Data processing and analysis",,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978076_requirement analysis_Common Term,1551347978076
Research Executive Agency (REA),Common Term,The Research Executive Agency is a funding body for research and innovation. It manages EU research grants.,ORION-specific,,European Comission,,,,,,,,,,,,https://ec.europa.eu/info/departments/research-executive-agency_en,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978286_Research Executive Agency (REA)_Common Term,1551347978286
reservoir,Common Term,An ecological niche where a pathogen lives and multiplies outside humans/ animals.,Epidemiology,,FOHM,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977797_reservoir_Common Term,1551347977797
retail,Public Health,Defition shared with food safety,Food Safety,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978042_retail_Public Health,1551347978042
retail,Food Safety,"the handling and/or processing of food and its storage at the point of sale or delivery to the final consumer, and includes distribution terminals, catering operations, factory canteens, institutional catering, restau- rants and other similar food service operations, shops, supermarket distribution centres and wholesale outlets",Food Safety,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978226_retail_Food Safety,1551347978226
risk,Food Safety,A function of the probability of an adverse health effect and the severity of that effect consequential to a hazard.,Epidemiology; Regulatory,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977734_risk_Food Safety,1551347977734
risk,Animal Health,The likelihood of the occurrence and the likely magnitude of the biological and economic consequences of an adverse event or effect to animal or human health.,Epidemiology; Regulatory,,OIE,,,,,,,,,,,,http://www.oie.int/index.phpid=169&L=0&htmfile=glossaire.htm,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978234_risk_Animal Health,1551347978234
risk,Public Health,The probability of an adverse event in a defined population over a specified time interval,Epidemiology; Regulatory,,"Adapted from Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978261_risk_Public Health,1551347978261
risk analysis,Food Safety,"a process consisting of three interconnected components: risk assessment, risk management and risk communication",Regulatory; Epidemiology,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977755_risk analysis_Food Safety,1551347977755
risk analysis,Public Health,Definition shared with food safety and animal health,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978011_risk analysis_Public Health,1551347978011
risk analysis,Animal Health,"means the process composed of hazard identification, risk assessment, risk management and risk communication.",Regulatory; Epidemiology,,OIE,,,,,,,,,,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm#terme_analyse_du_risque,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978107_risk analysis_Animal Health,1551347978107
risk assessment,Food Safety,"a scientifically based process consisting of four steps: hazard identification, hazard characterisation, exposure assessment and risk characterisation",Regulatory; Epidemiology,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977763_risk assessment_Food Safety,1551347977763
risk assessment,Public Health,Definition shared with food safety and animal health,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978012_risk assessment_Public Health,1551347978012
risk assessment,Animal Health,"means the evaluation of the likelihood and the biological and economic consequences of entry, establishment and spread of a hazard",Regulatory; Epidemiology,,OIE,,,,,,,,,,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm#terme_analyse_du_risque,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978106_risk assessment_Animal Health,1551347978106
risk characterization,Animal Health,Definition shared with food safety,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977996_risk characterization_Animal Health,1551347977996
risk characterization,Public Health,Definition shared with food safety,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977997_risk characterization_Public Health,1551347977997
risk characterization,Food Safety,"The process of determining the qualitative and/or quantitative estimation, including attendant uncertainties, of the probability of occurrence and severity of known or potential adverse health effects in a given population based on hazard identification, hazard characterization and exposure assessment.",Regulatory; Epidemiology,,Codex Alimentarius (PRINCIPLES AND GUIDELINES FOR THE CONDUCT OF MICROBIOLOGICAL RISK ASSESSMENT),,,,,,,,,,,,https://bit.ly/2NmWoop,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978266_risk characterization_Food Safety,1551347978266
risk communication,Public Health,Definition shared with food safety,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977998_risk communication_Public Health,1551347977998
risk communication,Animal Health,"is the interactive transmission and exchange of information and opinions throughout the risk analysis process concerning risk, risk-related factors and risk perceptions among risk assessors, risk managers, risk communicators, the general public and other interested parties.",Regulatory; Epidemiology,,OIE,,,,,,,,,,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm#terme_analyse_du_risque,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978095_risk communication_Animal Health,1551347978095
risk communication,Food Safety,"the interactive exchange of information and opinions throughout the risk analysis process as regards hazards and risks, risk-related factors and risk perceptions, among risk assessors, risk managers, consumers, feed and food businesses, the academic community and other interested parties, including the explanation of risk assessment findings and the basis of risk management decisions",Regulatory; Epidemiology,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978229_risk communication_Food Safety,1551347978229
risk estimate,Animal Health,Definition shared with food safety,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977999_risk estimate_Animal Health,1551347977999
risk estimate,Public Health,Definition shared with food safety,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978000_risk estimate_Public Health,1551347978000
risk estimate,Food Safety,The qualitative and/or quantitative estimation of risk resulting from risk characterization.,Regulatory; Epidemiology,,Codex Alimentarius (PRINCIPLES AND GUIDELINES FOR THE CONDUCT OF MICROBIOLOGICAL RISK ASSESSMENT),,,,,,,,,,,,https://bit.ly/2NmWoop,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978280_risk estimate_Food Safety,1551347978280
risk factor/ risk determinant,Common Term,"A factor that is causally related to a change in the risk of a relevant health process, outcome, or condition. The causal nature of the relationship is established on the basis of scientific evidence and causal inference. If the relationship is noncausal the factor is just a risk marker",Regulatory; Epidemiology,,"Adapted from Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977731_risk factor/ risk determinant_Common Term,1551347977731
risk management,Public Health,Definition shared with food safety and animal health,Regulatory; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978013_risk management_Public Health,1551347978013
risk management,Animal Health,"means the process of identifying, selecting and implementing measures that can be applied to reduce the level of risk.",Regulatory; Epidemiology,,OIE,,,,,,,,,,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm#terme_analyse_du_risque,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978108_risk management_Animal Health,1551347978108
risk management,Food Safety,"the process, distinct from risk assessment, of weighing policy alternatives in consultation with interested parties, considering risk assessment and other legitimate factors, and, if need be, selecting appropriate prevention and control options",Regulatory; Epidemiology,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978268_risk management_Food Safety,1551347978268
risk profile,Food Safety,The description of the food safety problem and its context.,Regulatory; Epidemiology,,Codex Alimentarius (Procedural Manual),,,,,,,,,,,,http://www.fao.org/3/i8608en/I8608EN.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978217_risk profile_Food Safety,1551347978217
risk- based analysis,Animal Health,"Use of prior or additional information about the probability of hazard occurrence, including contextual information and prior likelihood of disease to revise conclusions about disease status",Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978309_risk- based analysis_Animal Health,1551347978309
risk- based prioritisation,Animal Health,Determining which hazards should be selected for surveillance based on information about the probability of their occurrence and the extent of biologic and/or economic consequences of their occurrence.,Regulatory,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978051_risk- based prioritisation_Animal Health,1551347978051
risk- based sampling,Animal Health,"Designing a sampling strategy to reduce the cost or enhance the accuracy of surveillance by preferentially sampling strata (e.g. age groups or geographical areas) within the target population that are more likely to be exposed, affected, detected, become affected, transmit infection or cause other consequences (e.g. large economic losses or trade restrictions).",Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978047_risk- based sampling_Animal Health,1551347978047
risk- based surveillance,Animal Health,"Use of information about the probability of occurrence and the magnitude of the biological and/or economic consequence of health hazards to plan, design and/or interpret the results obtained from surveillance systems. Risk-based surveillance can include one or several of the following four approaches: - Risk-based prioritisation - Risk-based requirement - Risk-based sampling - Risk-based analysis",Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978307_risk- based surveillance_Animal Health,1551347978307
risk-based requirement,Animal Health,Use of prior or additional information about the probability of hazard occurrence to revise the surveillance intensity required to achieve the stated surveillance purpose.,Regulatory,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978308_risk-based requirement_Animal Health,1551347978308
sample,Public Health,biological sample send for diagnostics a selected subset of a population. A sample can be random or nonrandom and representative or nonrepresentative. Several types of sample can be distinguished eg: area sample grab sample probability (random) sample (simple random and stratified random) and systematic,Sampling and laboratory testing,,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977826_sample_Public Health,1551347977826
sample,Food Safety,Set composed of one or several units or a portion of matter selected by different means in a population or in an important quantity of matter that is intended to provide information on a given characteristic of the studied population or matter and to provide a basis for a decision concerning the population or matter in question or concerning the process that produced it.,Sampling and laboratory testing,,REGULATION (EC) No 2073/2005,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:338:0001:0026:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978177_sample_Food Safety,1551347978177
sample,Common Term,Small part or quantity intended to show what the whole is like.,Sampling and laboratory testing,,,,,,,,,,,,,,https://en.oxforddictionaries.com/definition/sample,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978182_sample_Common Term,1551347978182
sample size,Public Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978001_sample size_Public Health,1551347978001
sample size,Food Safety,the number of units randomly chosen from the sampling frame.,Sampling and laboratory testing,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978244_sample size_Food Safety,1551347978244
sampling event,Food Safety,the sampling unit or units extracted at certain time from the sampled population,Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978287_sampling event_Food Safety,1551347978287
sampling for analysis,Food Safety,"taking feed or food or any other substance (including from the environment) relevant to the production, processing and distribution of feed or food or to the health of animals, in order to verify through analysis compliance with feed or food law or animal health rules",Sampling and laboratory testing,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978200_sampling for analysis_Food Safety,1551347978200
sampling frame,Food Safety,"complete list of all units of the population, which can be sampled",Sampling and laboratory testing,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977842_sampling frame_Food Safety,1551347977842
sampling frame,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978002_sampling frame_Animal Health,1551347978002
sampling frame,Public Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978003_sampling frame_Public Health,1551347978003
sampling plan,Food Safety,"a set of rules by which a lot is to be inspected and classified. The plan will stipulate the number of items, to be randomly selected from the lot under inspection, which will comprise the sample.",Sampling and laboratory testing,,General Guidelines on Sampling,,,,,,,,,,,,http://www.fao.org/uploads/media/Codex_2004_sampling_CAC_GL_50.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977766_sampling plan_Food Safety,1551347977766
sampling plan,Animal Health,A systematic way of planning the number and type of samples required for an investigation.,Sampling and laboratory testing,,RiskSur,,,,,,,,,,,,https://www.efsa.europa.eu/en/glossary-taxonomy-terms,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977778_sampling plan_Animal Health,1551347977778
sampling programme,Food Safety,"describes criteria, purpose, method or legislative reference used to generate a sampling event",Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978043_sampling programme_Food Safety,1551347978043
sampling strategy,Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978004_sampling strategy_Animal Health,1551347978004
sampling strategy,Food Safety,"describes how the sample was selected from the population being monitored or surveyed (e.g. objective sampling, selective sampling, suspect sampling, convenient sampling, census)",Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978044_sampling strategy_Food Safety,1551347978044
sampling unit,Animal Health,each member of the sampling frame is a sampling unit,Sampling and laboratory testing,,"Thrusfield, Veterinary Epidemiology",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978056_sampling unit_Animal Health,1551347978056
sampling unit,Food Safety,"the unit which the specimens taken represent and which is considered either infected (contaminated) or not, based on the analyses result",Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978297_sampling unit_Food Safety,1551347978297
sanger sequencing,Food Safety,Definition shared with public health.,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978035_sanger sequencing_Food Safety,1551347978035
sanger sequencing,Public Health,method used to determine a portion of the nucleotide sequence of an organisms genome. This technique is based on the selective incorporation of chain-terminating dideoxynucleotides by DNA polymerase during in vitro DNA replication products?,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978111_sanger sequencing_Public Health,1551347978111
Schema markup,Common Term,Structured data markup is a universally shared language format that helps search engines understand and return the best results for users who are searching for relevant data.,ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://www.searchenginejournal.com/use-googles-structured-data-markup-helper/110668/,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978189_Schema markup_Common Term,1551347978189
screening,Food Safety,Definition shared with animal health.,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977879_screening_Food Safety,1551347977879
screening,Animal Health,identification of undiagnosed cases of disease using rapid tests or examinations,Type of study,,"Thrusfield, Veterinary Epidemiology",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978079_screening_Animal Health,1551347978079
screening,Public Health,"The presumptive identification of unrecognized disease or defect by the application of tests, examinations, or other procedures which can be applied rapidly. A screening test is not necessarily intended to be definitively diagnostic. Persons with positive or suspicious findings must be referred to their physicians for confirmation of diagnosis and necessary treatment.",Type of study,,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978260_screening_Public Health,1551347978260
secondary case,Public Health,Case of infection occring among contacts of primary cases within the incubation period following exposure to a primary case,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977831_secondary case_Public Health,1551347977831
selective sampling,Food Safety,Strategy based on the selection of a random sample from a subpopulation (or more frequently from subpopulations) of a population on which the data are reported. The subpopulations may or may not be determined on a risk basis. The sampling from each subpopulation may not be proportional: the sample size is proportionally bigger for instance in subpopulations considered at high risk.,Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978186_selective sampling_Food Safety,1551347978186
selectivity,Food Safety,"The selectivity is a measure of a) the inclusivity: detection of the target microorganism from a wide range of strains, and b) the exclusivity: the lack of interference from a relevant range of non-target microorganisms (not dependent of prevalence)",Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978288_selectivity_Food Safety,1551347978288
Semantic interoperability,Common Term,"Semantic interoperability is the ability of computer systems to exchange data with unambiguous, shared meaning. Semantic interoperability is a requirement to enable machine computable logic, inferencing, knowledge discovery, and data federation between information systems.",ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Semantic_interoperability,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978175_Semantic interoperability_Common Term,1551347978175
Semantics,Common Term,"Semantics is the linguistic and philosophical study of meaning, in language, programming languages, formal logics, and semiotics. It is concerned with the relationship between signifiers—like words, phrases, signs, and symbols—and what they stand for, their denotation.",ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Semantics,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978176_Semantics_Common Term,1551347978176
semi-quantitative method,Food Safety,A semi-quantitative method is a method where a qualitative analysis is performed on predefined successive dilutions of a sample.,Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977764_semi-quantitative method_Food Safety,1551347977764
semi-quantitative method,Public Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978005_semi-quantitative method_Public Health,1551347978005
