Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Epidemiology,Animal Health,risk/factor/ risk determinant,"A category of a determinant, in relation to a particular reference category, capable of completing a sufficient cause in some instance in which the reference category is incapable of such completion",,,,,,ISBN 978-0-19-9239481,,Book,"Teaching epidemiology: a guide for teachers in epidemiology, public health and clinical medicine",2010,"Jorn Olsen, Rodolfo Saracci, and Dimitrios Trichopoulos",Oxford University Press,,Book,"Do., Apr. 4 2019 11:37:38",,riskfactorriskdeterminant_afff314d-7d3b-4de1-8fdf-5153356171ae
Others,Public Health,risk/factor/ risk determinant,"An attribute or exposure that increases the probability of occurrence of disease or other
specified outcome.",,,,http://www.jdentaled.org/content/jde/65/10/1007.full.pdf,,,,Journal Article,,,,,,,,10.05.2019 14:21:17,riskfactorriskdeterminant_269c799b-c3ef-4faf-9bd0-e2e315f6d52d
Regulatory; Epidemiology,Shared Term,risk management,"the process, distinct from risk assessment, of weighing policy alternatives in consultation with interested parties, considering risk assessment and other legitimate factors, and, if need be, selecting appropriate prevention and control options",,,,http://data.europa.eu/eli/reg/2002/178/oj,,,,EU Directive or Regulation,"Regulation (EC) No 178/2002 of the European Parliament and of the Council of 28 January 2002 laying down the general principles and requirements of food law, establishing the European Food Safety Authority and laying down procedures in matters of food safety",2002,"European Parliament, Council of the European Union",,Official Journal of the European Communities,,"Do., Apr. 4 2019 11:37:38",29.04.2019 06:41:21,riskmanagement_3f7ede3b-735b-4b8f-8ed8-c0e2e449b19b
Regulatory; Epidemiology,Shared Term,risk management,"The identification and implementation of policies and activities to avoid or minimize the likelihood and/or impact of ongoing or potential zoonotic disease events. In practice, risk management typically refers to responding to current disease events (e.g. quarantine, culling, movement control).",,,,http://www.oie.int/fileadmin/Home/eng/Media_Center/docs/EN_TripartiteZoonosesGuide_web.pdf,,,,Report,"Taking a Multisectoral, One Health Approach: A Tripartite Guide to Addressing Zoonotic Diseases in Countries",2019,,"FAO, WHO, OIE",,,"Do., Apr. 4 2019 11:37:38",,riskmanagement_d547bcf3-d3d7-475e-a6cc-401978fc6244
Regulatory; Epidemiology,Shared Term,risk management,"means the process of identifying, selecting and implementing measures that can be applied to reduce the level of risk.",,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm#terme_analyse_du_risque,,,,Report,Terrestrial Animal Health Code - Glossary,2018,,OIE,,OIE,"Do., Apr. 4 2019 11:38:05",29.04.2019 06:40:17,riskmanagement_4598c939-8f79-4dd9-ade0-6269dde1cc9a
Others,Public Health,risk profile,,,,,,,,,ORION preliminary definition,,,,,,,,,riskprofile_3b18fafb-8bcb-4dfb-a7b2-70ffc6acfbf3
Regulatory; Epidemiology,Food Safety,risk profile,The description of the food safety problem and its context.,,,,http://www.fao.org/3/i8608en/I8608EN.pdf,,,,Report,Codex Alimentarius Commission Procedural Manual,2018,,,,,"Do., Apr. 4 2019 11:37:38",,riskprofile_f36816d2-41e1-4204-a8ed-3033a64f42a2
Epidemiology,Animal Health,risk profile,the evaluation of the likelihood that an individual or group of individuals become(s) exposed to a hazard,,,,,,,,ORION preliminary definition,,,,,,ORION preliminary reference,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),14.05.2019 18:23:14,riskprofile_af0de50f-6f14-41da-9118-c132fbdf81cf
Epidemiology,Shared Term,risk ratio,"A measure of association that quantifies the association between an exposure and a health outcome from an epidemiologic study, calculated as the ratio of incidence proportions of two groups",,,,https://www.cdc.gov/csels/dsepd/ss1978/Glossary.html,,,,Website,Principles of Epidemiology in Public Health Practice - Glossary,Accessed on: 18.05.2019,,CDC,,,Thu Apr 25 2019 09:36:41 GMT+0200 (MESZ)_riskratio_SharedTerm_Shared Term,,riskratio_2792234f-7750-4e79-9c42-52598dcaf303
Regulatory; Epidemiology,Food Safety,risk reduction,"The identification and implementation of policies and activities designed either to prevent zoonotic disease agents from creating health risks or to lessen their frequency, distribution, intensity or severity. In practice, typically refers to avoidance or decreasing current ongoing or future risk and/or impact.",,risk mitigation,,http://www.oie.int/fileadmin/Home/eng/Media_Center/docs/EN_TripartiteZoonosesGuide_web.pdf,,,,Report,"Taking a Multisectoral, One Health Approach: A Tripartite Guide to Addressing Zoonotic Diseases in Countries",2019,,"FAO, WHO, OIE",,,"Do., Apr. 4 2019 11:37:38",29.04.2019 06:44:22,riskreduction_f783fe45-9944-4ff4-b446-5b4a69d65002
Sampling and laboratory testing,Food Safety,sample,Set composed of one or several units or a portion of matter selected by different means in a population or in an important quantity of matter that is intended to provide information on a given characteristic of the studied population or matter and to provide a basis for a decision concerning the population or matter in question or concerning the process that produced it.,,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:38:06",,sample_09607e74-d5a7-442d-b234-2b0035c2c486
Sampling and laboratory testing,Public Health,sample,biological sample sent for diagnostics from a selected subset of a population. A sample can be random or nonrandom and representative or nonrepresentative. Several types of samples can be distinguished eg: area sample grab sample probability (random) sample (simple random and stratified random) and systematic,,,,,,,,ORION preliminary definition,,,,,,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",Thu Apr 04 2019 11:38:06 GMT+0200 (MESZ),10.05.2019 15:17:43,sample_8ff5de96-c8d3-43c7-9fa6-aabf1cb2861c
Sampling and laboratory testing;Epidemiology,Shared Term,sample,A sample is a subset of a frame where elements are selected based on a randomised process with a known probability of selection.,,,,https://stats.oecd.org/glossary/detail.asp?ID=2373,,,,Website,Glossary of statistical terms,Accessed on: 18.05.2019,,OECD,,OECD Glossary of statistical terms,"Do., Apr. 4 2019 11:37:38",,sample_277f0203-63d7-45c3-a080-ed8f72d5dd38
Sampling and laboratory testing,Shared Term,sample,Small part or quantity intended to show what the whole is like.,,,,https://en.oxforddictionaries.com/definition/sample,,,,Website,Sample,Accessed on: 18.05.2019,,Oxford Dictionary,,,"Do., Apr. 4 2019 11:38:06",,sample_bd64159d-4ab8-4ec5-a9a0-ce963033ae04
Sampling and laboratory testing,Shared Term,sample size,The number of sampling units which are to be included in the sample. In the case of a multi-stage sample this number refers to the number of units at the final stage in the sampling.,,,,https://stats.oecd.org/glossary/detail.asp?ID=3853,,,,Website,Glossary of Statistical Terms,2019,,,,OECD Glossary of Statistical Terms,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),09.05.2019 10:22:14,samplesize_a56d32fe-61c0-47fe-9b4e-489aeba3cc28
Others,Food Safety,sampling,,,,,,,,,ORION preliminary definition,,,,,,,,,sampling_a520d098-8e87-4bc3-a700-a9fdfa00922e
Sampling and Laboratory testing; Epidemiology,Animal Health,sampling,Sampling is the process of selecting a number of cases from all the cases in a particular group or universe.,,,,https://stats.oecd.org/glossary/detail.asp?ID=2375,,,,Website,Glossary of statistical terms,2019,OECDC,,,OECDC Glossary of statistical terms,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),09.05.2019 10:24:34,sampling_2e73bc20-f424-4f15-97b7-ed87d5eb0bd7
Sampling and laboratory testing,Public Health,sampling,"The process of selecting a number of subjects from all the subjects in a particular group, or “universe.”",,,,,,,978-0-199-97672-0,Book,A Dictionary of Epidemiology,2015,Edited by Miquel Porta,Oxford University Press Inc,,,"Do., Apr. 4 2019 11:38:06",30.04.2019 06:48:08,sampling_cb98fb9d-4d82-49bf-b583-bf22a4304435
Sampling and laboratory testing,Public Health,sampling event,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:06",,samplingevent_906542f5-bf6d-440f-b038-96592dec4600
Sampling and laboratory testing,Public Health,sampling event,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:38:06 GMT+0200 (MESZ),10.05.2019 15:25:51,samplingevent_4b86ba83-c914-4f5e-a792-928bbc81d5bc
Sampling and laboratory testing;Epidemiology,Shared Term,sampling event,the sampling unit or units extracted at certain time from the sampled population,,,,https://www.efsa.europa.eu/en/efsajournal/pub/3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,EFSA Journal,,"Do., Apr. 4 2019 11:37:38",29.04.2019 06:51:45,samplingevent_389e28ee-7dae-48ad-9b43-cee1f43dff3b
Sampling and laboratory testing;Epidemiology,Shared Term,sampling event,the sampling unit or units extracted at certain time from the sampled population,,,,https://www.efsa.europa.eu/en/efsajournal/pub/3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,European Food Safety Authority (EFSA),,EFSA Journal,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),10.05.2019 15:24:39,samplingevent_8b0a4a93-3486-4da8-907a-a0a011ada65e
Sampling and laboratory testing,Food Safety,sampling for analysis,"taking feed or food or any other substance (including from the environment) relevant to the production, processing and distribution of feed or food or to the health of animals, in order to verify through analysis compliance with feed or food law or animal health rules",,,,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:38",,samplingforanalysis_3aa9aac6-5636-435a-90db-304641c74d1f
Sampling and laboratory testing,Food Safety,sampling for analysis,"taking feed or food or any other substance (including from the environment) relevant to the production, processing and distribution of feed or food or to the health of animals, in order to verify through analysis compliance with feed or food law or animal health rules",,,,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,,REGULATION (EC) No 882/2004,"Do., Apr. 4 2019 11:38:06",,samplingforanalysis_da382efc-a397-4478-9ddb-3b33ab3cb7c4
Sampling and laboratory testing,Public Health,sampling for analysis,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:06",,samplingforanalysis_bfff2e88-ee73-4def-a343-625012d86f3a
Sampling and laboratory testing,Animal Health,sampling for analysis,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:06",,samplingforanalysis_090daeca-fd18-4b65-8122-4f9ab8129880
Sampling and laboratory testing,Public Health,sampling for analysis,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:38:06 GMT+0200 (MESZ),10.05.2019 15:28:22,samplingforanalysis_18a6ece1-ddba-47fa-b389-e4e70751135f
Sampling and laboratory testing,Public Health,sampling for analysis,"The act, process, or technique of selecting a suitable sample for analysis",,,,https://www.merriam-webster.com/dictionary/sampling,,,,Website,,,,,,,Thu Apr 04 2019 11:38:06 GMT+0200 (MESZ),10.05.2019 15:30:19,samplingforanalysis_a7cc0ed1-07c1-49a2-814f-3475f6ec79a0
Sampling and laboratory testing,Shared Term,sampling frame,"complete list of all units of the population, which can be sampled",,,,https://www.efsa.europa.eu/en/supporting/pub/en-1560,10.2903/sp.efsa.2019.EN-1560,,,Report,"Manual for reporting on zoonoses and zoonotic agents, within the framework of Directive 2003/99/EC, and on some other pathogenic microbiological agents for information derived from the year 2018",2019,"EFSA (European Food Safety Authority), Boelaert F, Rizzi V and Stoicescu A-V",,,,"Do., Apr. 4 2019 11:37:38",29.04.2019 06:53:08,samplingframe_bbe1f788-2fc7-43bd-887a-4fe7ffd631d3
Sampling and laboratory testing,Animal Health,sampling plan,A systematic way of planning the number and type of samples required for an investigation.,,,,https://www.efsa.europa.eu/en/glossary-taxonomy-terms,,,,Website,EFSA Glossary,Accessed on: 18.05.2019,,EFSA,,,"Do., Apr. 4 2019 11:38:06",,samplingplan_4f016537-c217-4948-a03c-469f45520ddf
Sampling and laboratory testing,Animal Health,sampling plan,A systematic way of planning the number and type of samples required for an investigation.,,,,https://www.efsa.europa.eu/en/glossary-taxonomy-terms,,,,EFSA,Glossary,2019,,,,,Thu Apr 04 2019 11:38:06 GMT+0200 (MESZ),09.05.2019 10:27:49,samplingplan_bc5fd7fb-4e69-467c-a76e-2cbfce5852d0
Sampling and laboratory testing,Food Safety,sampling plan,"a set of rules by which a lot is to be inspected and classified. The plan will stipulate the number of items, to be randomly selected from the lot under inspection, which will comprise the sample.",,,,http://www.fao.org/uploads/media/Codex_2004_sampling_CAC_GL_50.pdf,,,,Report,General Guidelines on Sampling CAC/GL 50-2004,2004,,Codex Alimentarius,,,"Do., Apr. 4 2019 11:37:38",,samplingplan_ccfd3f97-82dd-4062-b522-98b977f1584d
Sampling and laboratory testing,Food Safety,sampling programme,"describes criteria, purpose, method or legislative reference used to generate a sampling event",,,,https://www.efsa.europa.eu/en/efsajournal/pub/3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,04.04.2019 11:38:06,,samplingprogramme_d4442533-7e9e-4f82-a39e-02857680b9ee
Others,Public Health,sampling strategy,,,,,,,,,ORION preliminary definition,,,,,,,,,samplingstrategy_e09ccb22-fa2d-4818-9bb3-e8e24ed25af7
Sampling and laboratory testing,Shared Term,sampling strategy,"describes how the sample was selected from the population being monitored or surveyed (e.g. objective sampling, selective sampling, suspect sampling, convenient sampling, census)",,,,https://www.efsa.europa.eu/en/efsajournal/pub/3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:38:21",29.04.2019 06:55:32,samplingstrategy_a3a2749c-209e-44fe-8ee1-25ed7a16694d
Others,Public Health,sampling unit,,,,,,,,,ORION preliminary definition,,,,,,,,,samplingunit_807ac5c2-2aec-4d0f-86cf-bd8895c2d1ea
Sampling and laboratory testing,Animal Health,sampling unit,each member of the sampling frame is a sampling unit,,,,,,,,ORION preliminary definition,,,,,,"Thrusfield, Veterinary Epidemiology",Thu Apr 04 2019 11:38:07 GMT+0200 (MESZ),09.05.2019 10:35:27,samplingunit_b7af2429-37e4-406a-9d76-f5dc6b71d5c1
Sampling and laboratory testing,Animal Health,sampling unit,each member of the sampling frame is a sampling unit,,,,,,,978-1-405-15627-1,Book,Veterinary Epidemiology,2007,Thrusfield M,Blackwell Science,,,"Do., Apr. 4 2019 11:38:07",,samplingunit_daabce76-c9cc-472b-ba3f-b7ae36109763
Sampling and laboratory testing,Food Safety,sampling unit,"the unit which the specimens taken represent and which is considered either infected (contaminated) or not, based on the analyses result",,,,https://www.efsa.europa.eu/en/efsajournal/pub/3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:37:38",,samplingunit_55867b11-6830-45c8-b62b-15415cb3c039
Sampling and laboratory testing,Shared Term,sanger sequencing,method used to determine a portion of the nucleotide sequence of an organisms genome. This technique is based on the selective incorporation of chain-terminating dideoxynucleotides by DNA polymerase during in vitro DNA replication products?,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:07",29.04.2019 06:57:24,sangersequencing_51560fcf-aa62-460d-a46f-916f759a1499
ORION-specific;Data processing and analysis; Data processing and analysis,Shared Term,schema markup,"Schema markup is structured data markup, a universally shared language format that helps search engines understand and return the best results for users who are searching for relevant data. Schema markup is the foremost type of shared markup vocabulary that Google is using to deliver results.",,,,https://www.searchenginejournal.com/use-googles-structured-data-markup-helper/110668/,,,,Website,How to Use Google’s Structured Data Markup Helper,2014,Neil Patel,,Search Engine Journal,,"Do., Apr. 4 2019 11:37:38",28.04.2019 23:59:27,schemamarkup_06cc7d73-695e-49d9-84db-6d7f58f1af37
Type of study,Public Health,screening,"The presumptive identification of unrecognized disease or defect by the application of tests, examinations, or other procedures which can be applied rapidly. A screening test is not necessarily intended to be definitively diagnostic. Persons with positive or suspicious findings must be referred to their physicians for confirmation of diagnosis and necessary treatment.",,,,,,,978-0-199-97672-0,Book,A Dictionary of Epidemiology,2015,Edited by Miquel Porta,Oxford University Press Inc,,,"Do., Apr. 4 2019 11:38:07",,screening_c9f194d6-0549-4343-80cd-8bcf86e86e7f
Type of study,Shared Term,screening,identification of undiagnosed cases of disease using rapid tests or examinations,,,,,,,978-1-405-15627-1,Book,Veterinary Epidemiology,2007,Thrusfield M,Blackwell Science,,,"Do., Apr. 4 2019 11:38:22",29.04.2019 06:58:27,screening_5888a5cb-41aa-4164-b35f-8d73d48a5fbc
Type of study,Food Safety,screening method,methods that are used to detect the presence of a substance or class of substances at the level of interest. These methods have the capability for a high sample throughput and are used to sift large numbers of samples for potential non-compliant results. They are specifically designed to avoid false compliant results.,,,,http://data.europa.eu/eli/dec/2002/657/oj,,,,EU Directive or Regulation,2002/657/EC: Commission Decision of 12 August 2002 implementing Council Directive 96/23/EC concerning the performance of analytical methods and the interpretation of results (Text with EEA relevance) (notified under document number C(2002) 3044),2002,European Commission,,Official Journal of the European Communities,,"Do., Apr. 4 2019 11:37:38",,screeningmethod_402ae4da-9f04-41f5-9d54-1feafae6d526
Others,Animal Health,screening method,,,,,,,,,ORION preliminary definition,,,,,,,,,screeningmethod_1628f979-b5c9-48e5-8b3c-b82a3a44f532
Others,Public Health,screening method,,,,,,,,,ORION preliminary definition,,,,,,,,,screeningmethod_ec2d30e8-cd3c-4166-8d0e-e686c6736c26
Type of study,Public Health,screening method,Method used for the process of identifying healthy people who may be at increased risk of disease or condition.,,,,https://www.healthknowledge.org.uk/public-health-textbook/disease-causation-diagnostic/2c-diagnosis-screening/principles-methods-applications,,,,Website,,,,,,,,14.05.2019 10:00:05,screeningmethod_4540e5a3-a27a-4f2e-8e6f-cecd0c38489b
Sampling and laboratory testing,Animal Health,screening test,Tests of high diagnostic sensitivity suitable for large-scale application. ,,,,http://www.oie.int/fileadmin/Home/eng/Health_standards/tahm/0.06_GLOSSARY.pdf,,,,OIE,Manual of Diagnostic Tests and Vaccines for Terrestrial Animals 2018,2018,,OIE,,,,09.05.2019 11:14:08,screeningtest_14ab05a9-b58c-4eeb-914a-80876c477637
Epidemiology,Food Safety,secondary case,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,secondarycase_5d594430-6086-4b43-ae01-69238d32b58f
 Epidemiology,Public Health,secondary case,An individual who are infected by a primary case.,original definition,,,https://www.ebooks.com/en-us/967154/modern-infectious-disease-epidemiology-second-edition/giesecke-johan/,,,,Book,"Modern Infectious Disease Epidemiology, Second Edition",,,,,,"Wed May 15 2019 10:37:24 GMT+0200 (Västeuropa, sommartid)",,secondarycase_4a4c8593-e346-4528-9c27-4aa9d2ae2a12
Epidemiology,Shared Term,secondary case,Case of infection occring among contacts of primary cases within the incubation period following exposure to a primary case,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",30.04.2019 04:11:38,secondarycase_737e621a-f926-4c31-9dd2-5112daf24dd2
Epidemiology,Shared Term,secondary case,Case of infection occurring among contacts of primary cases within the incubation period following exposure to a primary case.,,,,https://wiki.ecdc.europa.eu/fem/w/wiki/1201.key-definitions-in-infectious-diseases-epidemiology,,,,ORION preliminary definition,Key definitions in infectious diseases epidemiology,2019,,,,Adapted from Field Epidemiology Manual (EFSA),Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),09.05.2019 11:22:41,secondarycase_495f3a73-84db-4ff6-bdd3-a872f392c75f
Others,Shared Term,sector,"A distinct part or branch of a nation’s sociological, economic, or political society or a sphere of activity such as human health, animal health, or environment.",,,,http://www.oie.int/fileadmin/Home/eng/Media_Center/docs/EN_TripartiteZoonosesGuide_web.pdf,,,ISBN: 978-92-4-151493-4 (WHO); ISBN: 978-92-5-131236-0 (FAO); ISBN: 978-92-9-511504-0 (OIE),Report,"Taking a Multisectoral, One Health Approach: A Tripartite Guide to Addressing Zoonotic Diseases in Countries",2019,,"FAO, WHO, OIE",,,"Do., Apr. 4 2019 11:37:38",24.04.2019 02:14:03,sector_dc96a777-2c63-4951-be4a-9191d68a1360
Sampling and laboratory testing,Public Health,selective sampling,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:07",,selectivesampling_235734f5-0a65-487a-9515-5608ee154149
Sampling and laboratory testing;Epidemiology,Shared Term,selective sampling,Strategy based on the selection of a random sample from a subpopulation (or more frequently from subpopulations) of a population on which the data are reported. The subpopulations may or may not be determined on a risk basis. The sampling from each subpopulation may not be proportional: the sample size is proportionally bigger for instance in subpopulations considered at high risk.,,,,https://www.efsa.europa.eu/en/efsajournal/pub/3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:37:38",30.04.2019 04:12:01,selectivesampling_29b4925d-fb3a-43c0-aa25-82d1bf254ec1
Sampling and laboratory testing,Animal Health,selectivity,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:07",,selectivity_821e65c5-ff99-4906-b2d3-ff5175cf37db
Sampling and laboratory testing,Public Health,selectivity,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:07",,selectivity_a1df131a-c9ef-4537-9da4-b422a9d74b18
Sampling and laboratory testing,Food Safety,selectivity,"The selectivity is a measure of a) the inclusivity: detection of the target microorganism from a wide range of strains, and b) the exclusivity: the lack of interference from a relevant range of non-target microorganisms (not dependent of prevalence)",,,,https://www.nmkl.org/index.php/nb/nordval-validation-protocol,,,,Report,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,,"Do., Apr. 4 2019 11:37:38",,selectivity_d62af07e-5bbd-4238-ae41-c30d16fb20d3
ORION-specific; Data processing and analysis,Shared Term,semantic interoperability,"Semantic interoperability is the ability of computer systems to exchange data with unambiguous, shared meaning. Semantic interoperability is a requirement to enable machine computable logic, inferencing, knowledge discovery, and data federation between information systems.",,,,https://en.wikipedia.org/wiki/Semantic_interoperability,,,,Website,Semantic interoperability,Accessed on: 18.05.2019,,Wikipedia,,,"Do., Apr. 4 2019 11:37:41",,semanticinteroperability_1769a99f-98e3-43ba-bc68-ead22ed96b52
ORION-specific; Data processing and analysis,Shared Term,semantic interoperability,"Semantic interoperability is the ability of computer systems to exchange data with unambiguous, shared meaning. Semantic interoperability is a requirement to enable machine computable logic, inferencing, knowledge discovery, and data federation between information systems.",,,,https://en.wikipedia.org/wiki/Semantic_interoperability,,,,Website,Semantic interoperability,2019,,,,,Thu Apr 04 2019 11:37:41 GMT+0200 (MESZ),09.05.2019 11:29:39,semanticinteroperability_da2566f4-a4bd-4084-a444-f5b4218d5855
ORION-specific; Data processing and analysis,Shared Term,semantics,"Semantics is the linguistic and philosophical study of meaning, in language, programming languages, formal logics, and semiotics. It is concerned with the relationship between signifiers—like words, phrases, signs, and symbols—and what they stand for, their denotation.",,,,https://en.wikipedia.org/wiki/Semantics,,,,Website,Semantics,Accessed on: 18.05.2019,,Wikipedia,,,"Do., Apr. 4 2019 11:37:41",,semantics_8a1ca92c-1620-4784-93f0-526491c01f85
ORION-specific; Data processing and analysis,Shared Term,semantics,"Semantics is the linguistic and philosophical study of meaning, in language, programming languages, formal logics, and semiotics. It is concerned with the relationship between signifiers—like words, phrases, signs, and symbols—and what they stand for, their denotation.",,,,https://en.wikipedia.org/wiki/Semantics,,,,Website,Semantics,2019,,,,,Thu Apr 04 2019 11:37:41 GMT+0200 (MESZ),09.05.2019 11:30:49,semantics_604aedf9-2ece-4912-9544-9765b8e1fcd8
Others,Food Safety,semi-quantitative,,,,,,,,,ORION preliminary definition,,,,,,,,,semiquantitative_7426e1f9-0400-4862-bd36-76a90f3f6fc1
Others,Public Health,semi-quantitative,,,,,,,,,ORION preliminary definition,,,,,,,,,semiquantitative_d2c39595-9f96-4e21-8d50-6f3b0a2667e9
Sampling and laboratory testing;Epidemiology,Animal Health,semi-quantitative,yielding an approximation of the quantity or amount of a substance.,,,,https://medical-dictionary.thefreedictionary.com/semiquantitative,,,,Website,Dorland's Medical Dictionary for Health Consumers,2007,,Elsevier,,,"Do., Apr. 4 2019 11:37:38",,semiquantitative_ee97e6f1-6ed1-474d-b8b1-f905b4800538
Sampling and laboratory testing,Animal Health,semi-quantitative method,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:08",,semiquantitativemethod_80e796d2-da8e-4ed4-a764-b41648f71854
Sampling and laboratory testing,Animal Health,semi-quantitative method,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:38:08 GMT+0200 (MESZ),09.05.2019 11:33:49,semiquantitativemethod_f1b8be5b-9c6c-4246-b491-5c7cd1eac896
Sampling and laboratory testing,Shared Term,semi-quantitative method,A semi-quantitative method is a method where a qualitative analysis is performed on predefined successive dilutions of a sample,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:38:07",,semiquantitativemethod_ddd77489-d7b6-4e7b-a8e7-ac7b503f9d9e
Sampling and laboratory testing,Animal Health,sensitivity,"Proportion of known infected reference animals that test positive in the assay; infected animals that test negative
are considered to have false-negative results.",,,,http://www.oie.int/fileadmin/Home/eng/Health_standards/tahm/0.06_GLOSSARY.pdf,,,,OIE,Manual of Diagnostic Tests and Vaccines for Terrestrial Animals 2018,2018,,,,,Thu Apr 04 2019 11:38:08 GMT+0200 (MESZ),09.05.2019 11:40:01,sensitivity_7860d130-1000-4758-89fd-652020c33aa6
Sampling and laboratory testing,Food Safety,sensitivity,The sensitivity is the ability/probanility of the method to detect the analyte when it is present,,,,https://www.nmkl.org/index.php/nb/nordval-validation-protocol,,,,Report,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,,"Do., Apr. 4 2019 11:37:38",,sensitivity_9df3daac-b531-4c95-bf2f-4f527d06403f
Sampling and laboratory testing,Animal Health,sensitivity,The sensitivity of a diagnostic method is the proportion of true positives that are detected with the method,,,,,,,978-1-405-15627-1,Book,Veterinary Epidemiology,2007,Thrusfield M,Blackwell Science,,,"Do., Apr. 4 2019 11:38:08",,sensitivity_dc025202-96a4-4fa9-a2b4-bbc5b74a808d
Sampling and laboratory testing,Public Health,sensitivity,the ability of a test/case definition/surveillance system to identify true cases; the proportion of people with a health condition (or the proportion of outbreaks) that are identified by a screening test or case definition or surveillance system).,,,,https://www.cdc.gov/csels/dsepd/ss1978/Glossary.html,,,,Website,Principles of Epidemiology in Public Health Practice - Glossary,Accessed on: 18.05.2019,,CDC,,,"Do., Apr. 4 2019 11:38:08",,sensitivity_e57c1c00-e6d0-4cd1-bae1-86db120f5e4c
Others,Public Health,sensitivity analysis,,,,,,,,,ORION preliminary definition,,,,,,,,,sensitivityanalysis_41b54b5b-f13b-4f71-a7f1-4daac78a5f93
Regulatory; Data processing and analysis,Shared Term,sensitivity analysis,A method used to examine the behaviour of a model by measuring the variation in its outputs resulting from changes to its inputs.,,,,https://bit.ly/2NmWoop,,,,Report,Principles and Guidelines for the Conduct of Microbiological Risk Assessment CAC/GL 30-1999,2014,,Codex Alimentarius,,,"Do., Apr. 4 2019 11:37:38",30.04.2019 07:13:44,sensitivityanalysis_2bada349-e2de-4c21-8417-f8fde6c347de
